Month,TCMB ForexSelling,USD/TRY MoM %,TUIK MoM %,ITO MoM %,ENAG MoM %,PP (TUIK),PP (ITO),PP (ENAG)
Dec 2023,29.4913,,,,,100.00,100.00,100.00
Jan 2024,30.3497,2.91,6.7,7.57,9.38,96.45,95.67,94.09
Feb 2024,31.2159,2.85,4.53,3.99,4.32,94.90,94.62,92.76
Mar 2024,32.3436,3.61,3.16,2.7,5.68,95.32,95.46,90.95
Apr 2024,32.3673,0.07,3.18,4.17,5.02,92.45,91.71,86.66
May 2024,32.1918,-0.54,3.37,2.22,5.66,88.95,89.23,81.58
Jun 2024,32.8853,2.15,1.64,2.71,4.27,89.40,88.75,79.92
Jul 2024,33.1431,0.78,3.23,3.99,5.91,87.28,86.01,76.05
Aug 2024,33.9844,2.54,2.47,3.03,3.47,87.34,85.60,75.37
Sep 2024,34.1825,0.58,2.97,3.25,5.34,85.31,83.39,71.97
Oct 2024,34.2403,0.17,2.88,3.25,4.06,83.07,80.90,69.27
Nov 2024,34.6417,1.17,2.24,3.07,3.09,82.20,79.41,67.99
Dec 2024,35.3438,2.03,1.03,1.67,2.44,83.01,79.69,67.71
Jan 2025,35.8274,1.37,5.03,5.74,8.22,80.12,76.40,63.42
Feb 2025,36.4467,1.73,2.27,2.54,3.37,79.69,75.79,62.42
Mar 2025,37.8337,3.81,2.46,3.12,3.91,80.74,76.30,62.35
Apr 2025,38.4375,1.60,3.0,4.39,4.46,79.64,74.25,60.65
May 2025,39.1329,1.81,1.53,1.57,3.66,79.86,74.43,59.56
Jun 2025,39.8124,1.74,1.37,1.77,3.05,80.15,74.40,58.80
Jul 2025,40.5858,1.94,2.06,2.62,3.75,80.05,73.91,57.78
Aug 2025,41.0178,1.06,2.04,1.84,3.23,79.29,73.35,56.57
Sep 2025,41.5816,1.37,3.23,3.19,3.79,77.86,72.06,55.25
Oct 2025,41.9677,0.93,2.55,3.31,3.74,76.63,70.40,53.75
Nov 2025,42.431,1.10,0.87,1.19,2.13,76.81,70.34,53.21
Dec 2025,42.9229,1.16,0.89,1.23,2.11,77.01,70.29,52.72
Jan 2026,43.4195,1.16,4.84,4.56,6.32,74.31,68.00,50.16
